Column2;Column5;Column6
Abramowice;49.79212;20.19428
Abramowice (dzielnica);51.19529;22.57819
Abramowice Koœcielne;51.2;22.58333
Abramowice Prywatne;51.20527;22.62068
Abramów;51.45647;22.31521
Abramówka;51.30926;23.15446
Abramy;53.009;21.85009
Achrymowce;53.51374;23.54698
Adama;50.416;20.20969
Adamczowice;50.66285;21.48788
Adamczycha;53.10686;21.26324
Adamek;51.0716;20.50798
Adamierz;50.20292;20.90262
Adaminowo;52.59512;19.27247
Adamkowa Rola;49.76667;19.63333
Adamkowo;53.5144;17.6988
Adamowa Góra;52.26267;20.2118
Adamowice;51.94225;20.45963
Adamowizna;54.17633;23.13584
Adamowo;52.91432;20.17723
Adamów;52.02414;20.59636
Adamówek;52.36638;20.72468
Adamówka;51.53333;22.33333
Adamówka Powiœle;51.43333;21.93333
Adamów-Parcel;52.01743;20.58675
Adampol;52.51653;21.58891
Adampol-Letnisko;51.2;22.65
Adelin;52.49517;21.44317
Adelina;51.13782;22.15
Adelinów;51.2831;19.8777
Adolfin;51.44929;21.38754
Adolfowo;52.97;17.01995
Adolfów;52.65052;22.29163
Agatówka;50.83522;22.07771
Agnieszezyn;50.38466;17.91536
Agnieszkowo;52.92753;19.51756
Agnieszków;51.7558;18.34853
Agrafinówka;54.14706;22.75205
Akacyjki;51.51293;18.15097
Aksmanice;49.67581;22.74281
Akwizgran;50.9277;20.38415
Albertowsko;52.26206;16.19986
Albertów;51.29989;23.05926
Albigowa;50.01425;22.22414
Albinow;50.78333;16.68333
Albinów;50.7134;22.7317
Aleksandria;52.00306;20.42942
Aleksandria Druga;50.73198;18.94045
Aleksandria Pierwsza;50.7456;18.98144
Aleksandrowice;50.08215;19.76475
Aleksandrowo;54.08731;22.77113
Aleksandrowsk;54.07746;23.16658
Aleksandrowska-Stawka;51.28895;22.41381
Aleksandrów;52.41606;21.14729
Aleksandrów Czwarty;50.47193;22.8562
Aleksandrów Drugi;50.46291;22.91362
Aleksandrów Kujawski;52.87659;18.69345
Aleksandrów £ódzki;51.81965;19.30384
Aleksandrów Ma³y;51.01429;21.46506
Aleksandrów Nowy;51.92504;20.71683
Aleksandrów Pierwszy;50.46537;22.93327
Aleksandrówek;51.56415;19.20198
Aleksandrówka;54.2683;23.1152
Alfonsów;51.32525;20.13142
Alfredówka;50.46558;21.76416
Alinowo;52.40305;18.1421
Alojzów;51.22429;21.25163
Altanka;52.25097;20.22245
Alwernia;50.06056;19.53953
Ambro¿ew;52.02964;19.31533
Ambro¿ów;50.93558;21.10963
Ambukow;50.76667;23.96667
Amelin;53.06389;21.23741
Ameryka;50.77869;17.84097
Anajewo;52.50944;19.4239
Anastazew;52.52287;21.4746
Anastazewo;52.4541;18.03076
Anastazów;51.42019;19.33677
Anatolin;52.31651;19.75922
Ancuty;52.92308;23.49007
Andrespol;51.72783;19.64175
Andruszkowice;50.66742;21.6989
Andrychów;49.85497;19.33834
Andrychy;53.51253;22.14668
Andryjanki;52.6093;22.99518
Andrzejewo;54.28808;23.10142
Andrzejki;53.10419;21.99644
Andrzejki-Tyszki;52.97449;21.94897
Andrzejów;51.81667;22.43333
Andrzejów Duranowski;52.19766;20.25124
Andrzejówka;51.41229;21.60677
Andzie³ówka;49.57577;18.90057
Andzin;52.58561;20.68306
Anglity;54.09096;19.74153
Angowice;53.65574;17.55867
Anielew;52.2744;18.31444
Anielewo;52.33399;18.088
Anielin;51.82973;20.83638
Anielin Kepa;51.77678;21.27814
Anielina;52.16599;21.57528
Anielinek;52.22425;21.6334
Anielin-Kazimierzów;51.86667;19.66667
Anieliny;53.12921;17.49451
Anielów;51.7744;21.774
Anielpol;50.90259;23.32494
Anin;52.21728;21.16018
Anio ³owo;54.12058;19.59705
Anio³ki;54.35929;18.63337
Ankamaty;53.92834;19.28041
Annapol;51.98932;17.52817
Annobór;51.42912;22.58968
Annobór-Kolonia;51.43651;22.58961
Annogóra;52.73952;16.49717
Annolesie;51.30238;18.91093
Annopol;52.4311;21.70172
Annopol A;51.68333;20.11667
Annopol B;51.66667;20.1
Annopole;52.20966;17.19669
Annopole Nowe;51.6381;18.88262
Annos³aw;51.76353;20.42536
Annowka;51.99295;18.22791
Annowo;54.17787;23.11196
Annów;51.64319;20.19155
Annówka;51.67793;22.47206
Anonin;51.89203;22.20062
Antolin;52.25586;23.1506
Antolka;50.4;20.10648
Antomieszki;54.30986;22.00004
Antonia;53.46107;21.44239
Antonie;53.1169;21.5234
Antonielów;50.94495;20.19507
Antoniew;52.1943;20.1699
Antoniew Sikawa;51.8;19.51667
Antoniew ¯d¿arów;52.25;20.18333
Antoniewo;53.89304;17.61978
Antonin;52.69017;22.55188
Antonin Nowy;51.576;22.43949
Antonin Stary;51.58333;22.45
Antonina;52.32086;21.71379
Antoninek-Zieliniec-Kobylepole;52.40973;17.03151
Antoninów;51.85575;20.41755
Antoniny;53.06667;17.06667
Antoniów;51.46913;20.20716
Antoniówka;51.68575;21.48347
Antoniówka Nowa;50.66667;23.46667
Antoniówka Stara;50.65;23.48333
Antoniuk;53.14118;23.13661
Antonowo;54.05984;21.7511
Antonówka;51.09286;22.09105
Antopol;51.65376;23.2441
Antosin;52.27399;20.08347
Anusin;52.38974;22.91276
Anuszewo;53.52441;21.68866
Aplinki;53.7545;18.82301
Apolonia;51.73104;19.16664
Apolonka;50.71156;19.48492
Aptynty;54.30411;21.29889
Arbasy;52.50974;22.54395
Arcelin;52.65524;20.30264
Archidiakonka;53.2;18.61667
Arciechów;52.37087;20.10339
Arcugowo;52.45095;17.6941
Ardapy;54.23029;20.75423
Arentowo;53.11288;17.03516
Arkadia;52.082;20.00781
Arkoñskie-Niemierzyn;53.45181;14.52101
Arkuszewo;52.53589;17.63643
Arkus¿ów;50.66724;21.1501
Ar³amów;49.58333;22.66667
Arnoldowo;52.96667;17.91667
Arynów;52.20544;21.5369
Asuny;54.32093;21.38884
Atanazyn;53.04509;17.12055
Ateny;53.9655;23.04673
Augamy;54.37296;20.36711
Augustopol;52.33812;19.10007
Augustowo;52.90796;20.3236
Augustów;53.84321;22.97979
Augustówek;52.35167;21.05398
